id,ime,prezime,nacionalni_klub,klub,datum_rodjenja,mjesto_rodjenja,otac,majka,razina_obrazovanja,naziv,akronim,uloga
1,Karlo,Ressler,HDZ,Klub zastupnika Europske pučke stranke,1989-12-26,Zagreb,Dubravko,Ančica,magistarski studiji,"Odbor za građanske slobode, pravosuđe i unutarnje poslove",LIBE,zamjenik
1,Karlo,Ressler,HDZ,Klub zastupnika Europske pučke stranke,1989-12-26,Zagreb,Dubravko,Ančica,magistarski studiji,Odbor za proračune,BUDG,clan
1,Karlo,Ressler,HDZ,Klub zastupnika Europske pučke stranke,1989-12-26,Zagreb,Dubravko,Ančica,magistarski studiji,Posebni odbor za umjetnu inteligenciju u digitalnom dobu,AIDA,potpredsjenik
2,Biljana,Borzan,SDP,Klub zastupnika Progresivnog saveza socijalista i demokrata u Europskom parlamentu,1971-11-29,Osijek,Jovo,Rosa,poslijediplomski sveučilišni (doktorski) studiji,"Odbor za okoliš, javno zdravlje i sigurnost hrane",ENVI,zamjenik
2,Biljana,Borzan,SDP,Klub zastupnika Progresivnog saveza socijalista i demokrata u Europskom parlamentu,1971-11-29,Osijek,Jovo,Rosa,poslijediplomski sveučilišni (doktorski) studiji,Odbor za unutarnje tržište i zaštitu potrošača,IMCO,clan
3,Valter,Flego,IDS,Klub zastupnika Renew Europe,1972-08-15,Koper,Đino,Marija,sveučilišni diplomski studiji,"Odbor za industriju, istraživanje i energetiku",ITRE,clan
3,Valter,Flego,IDS,Klub zastupnika Renew Europe,1972-08-15,Koper,Đino,Marija,sveučilišni diplomski studiji,Odbor za poljoprivredu i ruralni razvoj,AGRI,zamjenik
3,Valter,Flego,IDS,Klub zastupnika Renew Europe,1972-08-15,Koper,Đino,Marija,sveučilišni diplomski studiji,Odbor za promet i turizam,TRAN,zamjenik
4,Sunčana,Glavak,HDZ,Klub zastupnika Europske pučke stranke,1968-12-09,Čakovec,,,poslijediplomski sveučilišni (doktorski) studiji,"Odbor za okoliš, javno zdravlje i sigurnost hrane",ENVI,zamjenik
4,Sunčana,Glavak,HDZ,Klub zastupnika Europske pučke stranke,1968-12-09,Čakovec,,,poslijediplomski sveučilišni (doktorski) studiji,Odbor za vanjske poslove,AFET,clan
4,Sunčana,Glavak,HDZ,Klub zastupnika Europske pučke stranke,1968-12-09,Čakovec,,,poslijediplomski sveučilišni (doktorski) studiji,Posebni odbor za borbu protiv raka,BECA,zamjenik
